Country,City,Address,Phone,Email,Status
Turkey,Chișinău,"ул. В. Купча, 60","+373 22 50 91 00",embassy.moldova@mfa.gov.tr,Draft
Bulgaria,Chișinău,"ул. Букурешть, 92","+373 22 23 79 83",ambasada_bulgara@mtc.md,Draft
Germany,Chișinău,"ул. Митрополит Дософтей, 82","+373 22 20 06 00",info@chisinau.diplo.de,Draft
France,Chișinău,"ул. В. Парван, 43","+373 22 85 75 00",chancellerie.chisinau-amba@diplomatie.gouv.fr,Draft
Italy,Chișinău,"ул. Митрополит Дософтей, 101","+373 22 20 04 00",ambasciata.chisinau@esteri.it,Draft
USA,Chișinău,"ул. Алексей Матеевич, 103","+373 22 40 83 00",usembassy-moldova@state.gov,Draft
Romania,Chișinău,"ул. Григоре Уреке, 2","+373 22 23 50 00",chisinau@mae.ro,Draft
Austria,Chișinău,"ул. Митрополит Дософтей, 63","+373 22 21 00 00",chisinau-ob@bmeia.gv.at,Draft
Poland,Chișinău,"ул. Grenoble 126 A","+373 22 50 60 00",chisinau.amb.sekretariat@msz.gov.pl,Draft
UK,Chișinău,"ул. Николае Йорга 18/1","+373 22 22 62 00",,Draft
China,Chișinău,"ул. Митрополит Дософтей 124","+373 22 23 88 00",chinaemb_md@mfa.gov.cn,Draft
Belarus,Chișinău,"ул. Алексей Матеевич 83/1","+373 22 23 74 00",moldova@mfa.gov.by,Draft
Ukraine,Chișinău,"ул. Василе Лупу, 17","+373 22 23 57 00",emb_md@mfa.gov.ua,Draft
Finland,Chișinău,"ул. Митрополит Дософтей, 63","+373 22 21 00 50",,Draft
Czechia,Chișinău,"ул. Митрополит Дософтей, 68","+373 22 21 00 60",chisinau@embassy.mzv.cz,Draft
Hungary,Chișinău,"ул. Митрополит Дософтей, 80","+373 22 21 00 70",mission.chisinau@mfa.gov.hu,Draft
Israel,Chișinău,"ул. Митрополит Дософтей, 83","+373 22 21 00 80",consular@chisinau.mfa.gov.il,Draft
Japan,Chișinău,"ул. Митрополит Дософтей, 89","+373 22 21 00 90",japanembassy.md@tokyo.mofa.go.jp,Draft
Sweden,Chișinău,"ул. Митрополит Дософтей, 95","+373 22 21 01 00",,Draft
Netherlands,Chișinău,"ул. Митрополит Дософтей, 97","+373 22 21 01 10",,Draft
Greece,Chișinău,"ул. Митрополит Дософтей, 99","+373 22 21 01 20",gr.embassy.chisinau@mfa.gr,Draft
Latvia,Chișinău,"ул. Митрополит Дософтей, 101","+373 22 21 01 30",embassy.chisinau@mfa.gov.lv,Draft
Lithuania,Chișinău,"ул. Митрополит Дософтей, 103","+373 22 21 01 40",amb.chisinau@urm.lt,Draft
