Apostille_No	Security_Code	Working_Link	Case_Number	Signer	Dates
IMWM44AZGX6N6	2013073817848	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IMWM44AZGX6N...	000278	Топорец Ирина Специалист Служба Информационных Тех...	04.01.2021 18.01.2021
BOUS9XAQDTFH2	2013073851064	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BOUS9XAQDTFH...	07-6/3-41	Мирон Алёна И.О. вицепрезидента суда Кишиневский с...	11.02.2021 24.02.2021
CQ0VC27VGTCK6	2013073880545	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CQ0VC27VGTCK...	21-021527	Гонза Наталья Офицер Служба Информационных Техноло...	24.03.2021 29.03.2021
DR4Y1584JW9F4	2013073886585	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/DR4Y1584JW9F...	1-649/2003	Мирон Алёна И.О. вицепрезидента суда Кишиневский с...	12.11.2003 05.04.2021
7H2Q3790FZEI5	2013073926618	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/7H2Q3790FZEI...	1-568/98	Мирон Алёна И.О. вицепрезидента суда Кишиневский с...	13.10.1998 18.05.2021
5GTUD58SJQ5N6	2013073928629	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/5GTUD58SJQ5N...	1ra-834/09	Гузун Корнелиу Судья Кишиневский суд, филлиал Рышк...	21.07.2009 19.05.2021
9OVS71FRKM4S3	2013073942632	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/9OVS71FRKM4S...	784	Стела Пынзару И.О. директора Нац совет по определе...	14.05.2021 02.06.2021
7G6YCW5R9NCP4	2013073967178	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/7G6YCW5R9NCP...	318	Тома Надежда Судья Верховный суд Республики Молдов...	17.05.2021 25.06.2021
9T3M953ZBUHO4	2013073967857	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/9T3M953ZBUHO...	29244	Гузун Корнелиу Судья Кишиневский суд, филлиал Рышк...	03.12.2018 25.06.2021
4O2V205Z9TCG2	2013073973599	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/4O2V205Z9TCG...	7-17/13	Галбен Анатолий Судья Суд сектора Рышкановка, Киши...	24.05.2013 02.07.2021
8I2N14CVELIQ5	2013073980269	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/8I2N14CVELIQ...	12582	Гузун Корнелиу Судья Кишиневский суд, филлиал Рышк...	30.06.2021 08.07.2021
BO1SF0EVBU6P7	2013073999025	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BO1SF0EVBU6P...	1372	Парашка Василий Директор Больница при министерстве...	06.02.2017 21.07.2021
HS5N558YBNEK3	2013074004858	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/HS5N558YBNEK...	12-25/487	Георгий Николаеску Директор Агенство правовых инфо...	25.07.2021 26.07.2021
COUQ976XEZCH7	2013074010279	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/COUQ976XEZCH...	267	Волентир Андрей Директор Государственное информаци...	30.12.2020 30.07.2021
DLUX84ASKYII6	2013074013836	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/DLUX84ASKYII...	04-07/1191	Пушкуца Сергей Вицепремьер министерства финансов М...	31.12.2020 03.08.2021
7FYS428VLM4F4	2013074021602	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/7FYS428VLM4F...	10-747/19	Мунтяну Дорин Судья Кишиневский суд, филлиал Чекан...	28.06.2019 09.08.2021
FN5P1X6ZIP6R3	2013074048357	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/FN5P1X6ZIP6R...	10r-1009/19	Мелинтяну Юрий Судья Апеляционная палата Кишинева	27.11.2019 24.08.2021
BO2TCZ6WHSFG4	2013074052736	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BO2TCZ6WHSFG...	20.06.2555	Куров Игорь Директор Больница при министерстве здр...	25.08.2021 26.08.2021
3HWVD912FN7H4	2013074053054	https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/3HWVD912FN7H...	92/21	Фельдман Ян Президент Совет по ликвидации дискрими...	14.06.2021 26.08.2021
